ansZbkia,sintomak,gaixotasunak
0,,Recurrent acute otitis media
1,,"Recurrent acute otitis media,Serous otitis media,serous glue ear, serous glue ear"
2,,"Recurrent acute otitis media,Serous otitis media,serous glue ear, serous glue ear,Chronic otitis media"
3,,"Recurrent acute otitis media,Serous otitis media,serous glue ear, serous glue ear,Chronic otitis media,Chronic otitis media"
4,,"Recurrent acute otitis media,Serous otitis media,serous glue ear, serous glue ear,Chronic otitis media,Chronic otitis media"
