ansZbkia,sintomak,gaixotasunak
0,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1"
1,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Precocious pseudopuberty"
2,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Precocious pseudopuberty"
3,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Precocious pseudopuberty"
4,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Precocious pseudopuberty"
