ansZbkia,sintomak,gaixotasunak
0,,
1,"Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly",
2,"Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly, Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly",
3,"Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly, Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly,Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly",
4,"Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly, Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly,Romana's sign, cardiomyopathy, chagoma, hepatomegaly, megacolon, myocarditis, splenomegaly",
