ansZbkia,sintomak,gaixotasunak
0,,"Behavioral Symptoms,déficit,  síntomas"
1,,"Behavioral Symptoms,déficit,  síntomas,Behavioral Symptoms,  Motor symptoms,síntomas,  síntomas motores"
2,,"Behavioral Symptoms,déficit,  síntomas,Behavioral Symptoms,  Motor symptoms,síntomas,  síntomas motores,déficit"
3,,"Behavioral Symptoms,déficit,  síntomas,Behavioral Symptoms,  Motor symptoms,síntomas,  síntomas motores,déficit,Behavioral Symptoms,  Motor symptoms,síntomas,  síntomas motores"
4,,"Behavioral Symptoms,déficit,  síntomas,Behavioral Symptoms,  Motor symptoms,síntomas,  síntomas motores,déficit,Behavioral Symptoms,  Motor symptoms,síntomas,  síntomas motores"
