ansZbkia,sintomak,gaixotasunak
0,,"Herpetic Keratitis,Queratitis herpética"
1,,"Herpetic Keratitis,Queratitis herpética,Abrasión corneal"
2,,"Herpetic Keratitis,Queratitis herpética,Abrasión corneal,Fungal keratitis,Queratitis fúngica"
3,,"Herpetic Keratitis,Queratitis herpética,Abrasión corneal,Fungal keratitis,Queratitis fúngica,Bacterial keratitis,Queratitis bacteriana"
4,,"Herpetic Keratitis,Queratitis herpética,Abrasión corneal,Fungal keratitis,Queratitis fúngica,Bacterial keratitis,Queratitis bacteriana"
