ansZbkia,sintomak,gaixotasunak
0,"Q7799616, Q7799616","síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge"
1,"Q7799616, Q7799616,Q7799616, Q7799616","síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge,síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge"
2,"Q7799616, Q7799616,Q7799616, Q7799616","síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge,síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge"
3,"Q7799616, Q7799616,Q7799616, Q7799616,estenosis aórtica supravalvular, estenosis aórtica supravalvular,supravalvular aortic stenosis","síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge,síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge"
4,"Q7799616, Q7799616,Q7799616, Q7799616,estenosis aórtica supravalvular, estenosis aórtica supravalvular,supravalvular aortic stenosis","síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge,síndrome de Di George,Síndrome de DiGeorge, Síndrome de DiGeorge"
