ansZbkia,sintomak,gaixotasunak
0,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","estenosis aórtica,Estenosis aórtica, Estenosis aórtica"
1,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","estenosis aórtica,Estenosis aórtica, Estenosis aórtica,disfunción"
2,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","estenosis aórtica,Estenosis aórtica, Estenosis aórtica,disfunción"
3,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope, dyspnea,edema,fatigue,heart failure,pain,tachycardia,vertigo","estenosis aórtica,Estenosis aórtica, Estenosis aórtica,disfunción,Hypertrophic obstructive cardiomyopathy,hypertrophic obstructive cardiomyopathy, hypertrophic cardiomyopathy,hipertrófica"
4,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope, dyspnea,edema,fatigue,heart failure,pain,tachycardia,vertigo","estenosis aórtica,Estenosis aórtica, Estenosis aórtica,disfunción,Hypertrophic obstructive cardiomyopathy,hypertrophic obstructive cardiomyopathy, hypertrophic cardiomyopathy,hipertrófica"
