ansZbkia,sintomak,gaixotasunak
0,"inflamación articular, inflamación articular",ankle arthritis
1,"inflamación articular, inflamación articular","ankle arthritis,Hematuria,uveal coloboma-cleft lip and palate-intellectual disability, Thin basement membrane disease, Thin basement membrane disease,Hematuria"
2,"inflamación articular, inflamación articular","ankle arthritis,Hematuria,uveal coloboma-cleft lip and palate-intellectual disability, Thin basement membrane disease, Thin basement membrane disease,Hematuria,Plaquetopenia"
3,"inflamación articular, inflamación articular","ankle arthritis,Hematuria,uveal coloboma-cleft lip and palate-intellectual disability, Thin basement membrane disease, Thin basement membrane disease,Hematuria,Plaquetopenia,Sangre oculta en heces"
4,"inflamación articular, inflamación articular","ankle arthritis,Hematuria,uveal coloboma-cleft lip and palate-intellectual disability, Thin basement membrane disease, Thin basement membrane disease,Hematuria,Plaquetopenia,Sangre oculta en heces,Edema escrotal"
