ansZbkia,sintomak,gaixotasunak
0,,Comunicación
1,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","Comunicación,Estenosis aórtica,Estenosis aórtica, Estenosis aórtica"
2,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","Comunicación,Estenosis aórtica,Estenosis aórtica, Estenosis aórtica,Rheumatic mitral stenosis"
3,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","Comunicación,Estenosis aórtica,Estenosis aórtica, Estenosis aórtica,Rheumatic mitral stenosis"
4,"angina pectoris, syncope,angina de pecho,síncope, angina de pecho,síncope","Comunicación,Estenosis aórtica,Estenosis aórtica, Estenosis aórtica,Rheumatic mitral stenosis"
