ansZbkia,sintomak,gaixotasunak
0,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Pubertad precoz central"
1,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Pubertad precoz central,Precocious pseudopuberty,Pubertad"
2,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Pubertad precoz central,Precocious pseudopuberty,Pubertad,Adrenarquia"
3,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Pubertad precoz central,Precocious pseudopuberty,Pubertad,Adrenarquia,Tumor"
4,,"Central Precocious Puberty,central precocious puberty, central precocious puberty 2, central precocious puberty 1,Pubertad precoz central,Precocious pseudopuberty,Pubertad,Adrenarquia,Tumor"
