ansZbkia,sintomak,gaixotasunak
0,alimentación,"Dental Plaque,placa,pica, peca, arteria coronaria izquierda, pasta base de cocaína, Pará"
1,alimentación,"Dental Plaque,placa,pica, peca, arteria coronaria izquierda, pasta base de cocaína, Pará"
2,alimentación,"Dental Plaque,placa,pica, peca, arteria coronaria izquierda, pasta base de cocaína, Pará"
3,alimentación,"Dental Plaque,placa,pica, peca, arteria coronaria izquierda, pasta base de cocaína, Pará"
4,alimentación,"Dental Plaque,placa,pica, peca, arteria coronaria izquierda, pasta base de cocaína, Pará"
